Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
Female,No,3,Not Graduate,No,1710000,1360000,1800000,36,Rural,No
Male,Yes,1,Graduate,Yes,1430000,1100000,8600000,24,Urban,No
Male,Yes,4,Not Graduate,Yes,1530000,840000,4500000,180,Urban,No
Male,Yes,3,Not Graduate,No,1860000,1560000,7200000,360,Rural,No
Male,No,2,Graduate,No,780000,750000,700000,300,Semiurban,Yes
Male,Yes,2,Graduate,Yes,910000,640000,8700000,36,Rural,No
Female,Yes,1,Not Graduate,No,1820000,810000,3100000,24,Rural,No
Male,Yes,2,Not Graduate,Yes,570000,630000,9800000,60,Urban,Yes
Male,No,2,Not Graduate,Yes,970000,1140000,1700000,12,Rural,No
Male,No,3,Not Graduate,Yes,1070000,1110000,7200000,36,Rural,Yes
Female,No,2,Graduate,Yes,1950000,1170000,3900000,24,Rural,No
Female,No,3,Not Graduate,Yes,1960000,850000,2300000,12,Urban,Yes
Female,Yes,3,Graduate,No,1630000,1650000,4800000,360,Urban,No
Female,Yes,3,Not Graduate,Yes,1430000,1770000,3600000,12,Urban,Yes
Male,No,2,Graduate,Yes,840000,1480000,4900000,180,Rural,No
Male,Yes,1,Not Graduate,No,650000,1670000,7300000,180,Semiurban,No
Male,No,1,Graduate,Yes,1220000,970000,8500000,180,Rural,No
Female,Yes,2,Not Graduate,No,860000,1910000,8500000,360,Rural,No
Male,Yes,3,Graduate,No,830000,500000,8500000,180,Rural,No
Male,No,2,Graduate,Yes,1940000,1540000,2900000,240,Urban,No
Female,No,4,Graduate,No,830000,1410000,7600000,36,Urban,No
Female,Yes,1,Not Graduate,Yes,1030000,1620000,9600000,24,Urban,Yes
Female,No,3,Graduate,No,550000,1600000,5500000,300,Urban,No
Male,Yes,2,Graduate,No,1330000,870000,6600000,60,Urban,Yes
Male,Yes,3,Not Graduate,No,1200000,660000,8700000,24,Semiurban,Yes
Female,Yes,4,Not Graduate,Yes,1770000,1950000,1200000,60,Rural,Yes
Male,Yes,3,Not Graduate,No,1610000,1000000,7700000,120,Urban,No
Female,No,4,Graduate,Yes,960000,1070000,2200000,360,Semiurban,No
Female,Yes,1,Graduate,Yes,760000,1440000,5800000,300,Semiurban,No
Male,Yes,3,Graduate,Yes,1110000,1000000,4800000,24,Semiurban,Yes
Female,Yes,2,Graduate,No,1580000,1880000,7100000,12,Urban,No
Female,No,3,Not Graduate,No,990000,1370000,9500000,12,Urban,Yes
Female,Yes,3,Graduate,No,500000,1810000,3800000,12,Semiurban,No
Male,No,4,Not Graduate,No,640000,1400000,2000000,36,Rural,Yes
Female,No,4,Graduate,No,1120000,1740000,5900000,180,Rural,Yes
Female,No,2,Not Graduate,No,880000,1770000,5200000,300,Semiurban,Yes
Female,No,1,Not Graduate,No,1920000,1550000,3400000,180,Rural,Yes
Female,No,1,Graduate,No,1320000,840000,6300000,60,Rural,No
Female,No,4,Graduate,No,1990000,1810000,4000000,36,Urban,Yes
Female,No,2,Graduate,No,1580000,680000,7800000,180,Semiurban,Yes
Female,Yes,3,Not Graduate,Yes,1840000,1760000,2700000,360,Urban,Yes
Male,Yes,2,Not Graduate,No,1690000,1360000,9700000,60,Rural,Yes
Male,No,2,Graduate,No,820000,1710000,6100000,36,Semiurban,Yes
Female,No,2,Not Graduate,Yes,1470000,530000,9900000,120,Semiurban,No
Male,No,1,Graduate,Yes,1330000,1350000,4400000,180,Rural,No
Male,Yes,3,Graduate,No,1580000,1780000,5300000,240,Semiurban,Yes
Female,No,2,Graduate,Yes,1130000,810000,9900000,60,Semiurban,No
Male,Yes,1,Graduate,No,1080000,1180000,8500000,24,Rural,Yes
Female,Yes,1,Not Graduate,Yes,1610000,1020000,900000,300,Semiurban,Yes
Female,No,4,Graduate,Yes,1630000,1130000,3800000,180,Semiurban,Yes
Female,Yes,3,Not Graduate,No,1870000,1650000,2900000,360,Semiurban,No
Female,No,2,Not Graduate,Yes,1740000,940000,9200000,300,Rural,Yes
Female,No,3,Not Graduate,No,630000,1780000,8100000,240,Semiurban,No
Male,No,4,Not Graduate,No,700000,1630000,7900000,240,Semiurban,Yes
Female,Yes,4,Not Graduate,Yes,1960000,1620000,4400000,36,Semiurban,No
Male,No,2,Graduate,No,890000,1060000,2200000,60,Semiurban,No
Female,Yes,1,Not Graduate,Yes,1020000,1060000,9900000,24,Rural,No
Female,No,4,Graduate,No,1070000,1550000,600000,360,Rural,Yes
Female,No,1,Graduate,No,1800000,1420000,2600000,300,Urban,Yes
Male,No,4,Graduate,Yes,1190000,990000,8200000,24,Rural,No
Female,No,3,Graduate,No,860000,1140000,8200000,120,Urban,Yes
Female,No,2,Not Graduate,Yes,1610000,1630000,1500000,12,Semiurban,Yes
Female,Yes,4,Not Graduate,Yes,670000,960000,4000000,180,Semiurban,No
Female,No,3,Graduate,No,1330000,1510000,1300000,120,Urban,Yes
Male,No,4,Graduate,Yes,950000,1210000,7200000,24,Rural,No
Female,No,2,Graduate,No,1990000,1280000,3600000,36,Rural,Yes
Male,Yes,3,Graduate,No,1830000,1290000,6000000,60,Urban,No
Female,No,1,Graduate,Yes,1370000,1010000,5600000,24,Rural,Yes
Male,No,4,Graduate,Yes,770000,1940000,1800000,60,Semiurban,Yes
Male,No,4,Not Graduate,No,1400000,1720000,9800000,24,Urban,No
Female,No,3,Not Graduate,No,630000,1420000,5900000,36,Urban,Yes
Female,Yes,2,Not Graduate,No,1190000,1450000,5600000,12,Urban,Yes
Male,No,4,Not Graduate,No,1420000,850000,1800000,36,Semiurban,No
Female,Yes,3,Graduate,Yes,1330000,1960000,9900000,300,Urban,No
Female,Yes,2,Not Graduate,Yes,1000000,930000,9900000,12,Semiurban,Yes
Female,Yes,4,Not Graduate,No,1060000,720000,6700000,120,Rural,No
Male,Yes,3,Graduate,Yes,840000,600000,1900000,60,Semiurban,No
Female,No,2,Not Graduate,Yes,1440000,1290000,500000,12,Semiurban,Yes
Female,No,4,Graduate,No,1960000,1730000,7600000,240,Urban,No
Female,Yes,4,Graduate,Yes,1960000,1650000,5900000,120,Semiurban,Yes
Male,Yes,2,Graduate,No,1940000,1090000,9300000,24,Semiurban,No
Female,Yes,2,Graduate,Yes,940000,1580000,5800000,120,Rural,Yes
Male,No,3,Graduate,No,1810000,1350000,9400000,24,Semiurban,No
Female,Yes,4,Not Graduate,Yes,1570000,960000,9200000,60,Semiurban,Yes
Male,Yes,4,Graduate,No,1260000,720000,8700000,240,Rural,No
Female,Yes,3,Not Graduate,No,1760000,590000,1600000,300,Urban,No
Female,Yes,4,Graduate,No,1330000,1670000,8100000,120,Urban,Yes
Male,Yes,4,Graduate,No,1040000,810000,8400000,240,Semiurban,Yes
Male,No,4,Graduate,No,1940000,890000,6200000,120,Urban,No
Male,Yes,1,Not Graduate,Yes,610000,1720000,9700000,360,Urban,No
Female,No,2,Graduate,Yes,1640000,1400000,1400000,360,Rural,Yes
Female,No,1,Not Graduate,Yes,1520000,1870000,5300000,300,Rural,Yes
Female,No,1,Not Graduate,Yes,1020000,1220000,3600000,24,Urban,Yes
Female,No,2,Not Graduate,No,1510000,1250000,5400000,180,Semiurban,No
Male,No,1,Graduate,No,1760000,560000,8600000,360,Semiurban,No
Female,Yes,3,Not Graduate,Yes,1170000,1080000,1500000,180,Urban,Yes
Female,No,1,Graduate,No,800000,1740000,1100000,240,Semiurban,No
Female,No,3,Graduate,Yes,1700000,1410000,2800000,240,Rural,Yes
Female,Yes,2,Graduate,Yes,680000,1330000,8000000,60,Urban,No
Female,No,4,Graduate,No,1840000,570000,2000000,300,Rural,Yes
Female,Yes,2,Graduate,Yes,1040000,1180000,7900000,24,Rural,Yes
Female,Yes,2,Graduate,Yes,1440000,1620000,9800000,36,Urban,Yes
Male,Yes,1,Not Graduate,Yes,1260000,1160000,3700000,300,Rural,No
Female,Yes,2,Graduate,No,1410000,1000000,7300000,36,Rural,Yes
Female,Yes,2,Graduate,Yes,1040000,710000,2100000,360,Rural,Yes
Female,No,3,Not Graduate,Yes,1310000,1650000,6400000,180,Semiurban,Yes
Female,Yes,4,Not Graduate,No,1160000,1520000,6700000,360,Rural,No
Male,Yes,1,Graduate,No,710000,650000,3800000,24,Semiurban,Yes
Male,No,4,Graduate,No,1020000,1050000,2000000,24,Semiurban,Yes
Male,No,4,Not Graduate,No,630000,1820000,5500000,36,Rural,Yes
Male,No,4,Not Graduate,No,1200000,1940000,1300000,60,Urban,No
Male,No,1,Graduate,No,1860000,980000,10000000,300,Urban,No
Male,Yes,2,Not Graduate,No,1040000,1630000,3100000,36,Rural,No
Female,No,4,Not Graduate,Yes,530000,1730000,5200000,12,Urban,No
Male,Yes,1,Graduate,No,1440000,1100000,3400000,300,Semiurban,No
Male,No,2,Not Graduate,Yes,1590000,1190000,8300000,36,Semiurban,No
Female,No,4,Not Graduate,Yes,970000,1750000,9500000,60,Semiurban,Yes
Male,No,3,Not Graduate,No,560000,1980000,2600000,12,Rural,Yes
Female,No,1,Not Graduate,Yes,830000,1330000,2600000,120,Rural,Yes
Female,No,4,Not Graduate,Yes,1980000,1680000,2800000,12,Urban,No
Male,Yes,1,Not Graduate,No,890000,1520000,8200000,12,Semiurban,No
Female,Yes,3,Graduate,Yes,1560000,1020000,4200000,360,Rural,Yes
Male,Yes,1,Graduate,Yes,710000,1010000,1000000,360,Rural,No
Male,No,2,Graduate,Yes,1530000,1240000,2100000,12,Urban,No
Female,Yes,4,Not Graduate,No,1270000,1650000,9600000,36,Rural,No
Female,No,1,Not Graduate,No,1430000,810000,5900000,120,Rural,No
Male,No,1,Graduate,No,1570000,950000,6400000,12,Urban,No
Female,Yes,4,Not Graduate,Yes,1800000,1550000,5600000,60,Rural,Yes
Female,Yes,3,Graduate,Yes,520000,1660000,2800000,60,Rural,Yes
Male,No,3,Not Graduate,No,1600000,1820000,5500000,60,Rural,No
Male,No,4,Not Graduate,No,980000,1030000,1900000,24,Urban,No
Female,Yes,4,Not Graduate,Yes,1950000,1010000,3200000,240,Rural,Yes
Male,No,2,Graduate,Yes,1220000,1900000,1800000,60,Rural,No
Male,Yes,1,Graduate,Yes,830000,1930000,1500000,180,Urban,Yes
Male,Yes,1,Graduate,Yes,1390000,830000,500000,360,Semiurban,No
Male,No,3,Graduate,Yes,1630000,1520000,2100000,120,Urban,No
Male,No,2,Graduate,No,710000,760000,5500000,120,Urban,Yes
Male,No,1,Not Graduate,No,860000,1920000,9300000,120,Urban,No
Male,No,2,Not Graduate,Yes,880000,1630000,5800000,120,Urban,Yes
Female,Yes,4,Not Graduate,Yes,1040000,1710000,7000000,120,Rural,No
Male,No,1,Not Graduate,Yes,910000,680000,7000000,360,Urban,No
Female,Yes,4,Graduate,No,1750000,1670000,1900000,24,Rural,No
Female,Yes,3,Graduate,No,1400000,1540000,8100000,360,Semiurban,Yes
Female,No,3,Graduate,Yes,1260000,540000,8000000,360,Urban,No
Male,Yes,4,Not Graduate,Yes,500000,910000,7900000,360,Semiurban,Yes
Male,No,3,Graduate,Yes,1980000,1760000,9700000,180,Urban,Yes
Female,No,4,Graduate,No,1190000,1070000,7900000,300,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1510000,1440000,6200000,60,Semiurban,No
Female,Yes,4,Not Graduate,No,1880000,1700000,800000,120,Rural,Yes
Male,Yes,3,Graduate,Yes,1170000,1710000,6900000,300,Urban,No
Male,No,3,Graduate,Yes,1120000,1430000,3100000,12,Rural,No
Female,No,3,Graduate,No,980000,880000,4800000,300,Rural,No
Female,Yes,4,Not Graduate,No,1120000,1800000,5600000,360,Semiurban,No
Female,No,2,Not Graduate,No,1160000,1910000,8100000,360,Urban,No
Male,No,3,Not Graduate,No,930000,1850000,5000000,120,Urban,Yes
Female,Yes,2,Not Graduate,Yes,900000,1020000,9900000,60,Semiurban,Yes
Male,No,3,Not Graduate,Yes,840000,700000,6100000,360,Semiurban,No
Male,Yes,1,Not Graduate,Yes,680000,1070000,1500000,12,Urban,Yes
Male,Yes,1,Graduate,Yes,1640000,1300000,7800000,180,Semiurban,No
Female,Yes,1,Graduate,No,1910000,1660000,4100000,180,Semiurban,Yes
Female,No,2,Graduate,Yes,1470000,740000,7600000,36,Semiurban,No
Female,Yes,3,Not Graduate,No,940000,1870000,2000000,120,Rural,No
Male,Yes,4,Not Graduate,No,1460000,1700000,7300000,360,Rural,Yes
Male,Yes,2,Graduate,Yes,1780000,670000,8900000,360,Urban,Yes
Female,Yes,3,Graduate,No,1130000,1940000,6800000,240,Semiurban,Yes
Male,No,1,Not Graduate,No,1130000,610000,1200000,120,Urban,Yes
Male,Yes,2,Not Graduate,Yes,960000,1710000,3900000,240,Semiurban,No
Female,No,3,Not Graduate,Yes,750000,1020000,900000,24,Urban,No
Female,Yes,4,Graduate,Yes,970000,890000,8100000,300,Semiurban,No
Female,No,2,Not Graduate,Yes,610000,1170000,1700000,240,Urban,No
Male,No,4,Not Graduate,No,500000,1680000,900000,300,Semiurban,No
Male,No,2,Not Graduate,Yes,1690000,1580000,2000000,24,Urban,No
Male,No,1,Not Graduate,Yes,1430000,1920000,2400000,180,Urban,Yes
Male,Yes,1,Graduate,Yes,1900000,530000,4600000,24,Semiurban,No
Male,Yes,1,Graduate,No,1430000,1700000,3200000,300,Urban,No
Female,No,4,Not Graduate,Yes,1420000,890000,5800000,24,Semiurban,Yes
Male,No,1,Not Graduate,No,1270000,1280000,8400000,12,Semiurban,No
Male,No,4,Not Graduate,No,1740000,570000,10000000,360,Urban,Yes
Male,Yes,4,Not Graduate,No,850000,1970000,10000000,180,Semiurban,No
Female,No,4,Not Graduate,No,1150000,1470000,1500000,180,Urban,Yes
Female,No,1,Not Graduate,No,1780000,1200000,7000000,180,Semiurban,Yes
Female,Yes,3,Not Graduate,Yes,780000,1970000,7200000,12,Rural,No
Male,Yes,4,Not Graduate,Yes,1540000,1790000,6300000,300,Semiurban,Yes
Female,Yes,3,Graduate,No,1580000,1980000,8100000,60,Rural,No
Female,Yes,4,Graduate,No,1280000,1580000,900000,12,Urban,Yes
Female,Yes,1,Not Graduate,No,1840000,1850000,1100000,12,Rural,Yes
Male,Yes,1,Graduate,Yes,1470000,860000,8100000,12,Urban,Yes
Female,No,1,Graduate,Yes,710000,1810000,2600000,240,Rural,No
Male,No,2,Graduate,No,1870000,730000,6700000,180,Rural,Yes
Male,Yes,1,Graduate,No,1270000,1250000,600000,240,Semiurban,No
Female,No,3,Not Graduate,No,1320000,1240000,9400000,240,Semiurban,No
Male,Yes,4,Not Graduate,Yes,1510000,1400000,9700000,120,Semiurban,Yes
Female,No,3,Not Graduate,No,1350000,1730000,1200000,240,Urban,Yes
Male,Yes,2,Not Graduate,No,1500000,1070000,8800000,24,Semiurban,No
Female,Yes,3,Graduate,No,840000,560000,700000,12,Semiurban,No
Female,No,4,Graduate,Yes,1530000,1060000,1000000,120,Urban,Yes
Female,No,4,Graduate,No,1390000,1060000,500000,12,Rural,Yes
Male,Yes,1,Graduate,No,920000,1330000,8700000,240,Urban,Yes
Female,Yes,2,Not Graduate,No,870000,970000,8000000,24,Semiurban,No
Male,Yes,2,Not Graduate,No,840000,1850000,7000000,120,Semiurban,Yes
Female,Yes,3,Not Graduate,Yes,1190000,1430000,6100000,36,Rural,Yes
Male,Yes,1,Graduate,No,1230000,1980000,5600000,12,Urban,No
Male,Yes,1,Not Graduate,No,580000,560000,4100000,36,Urban,Yes
Female,No,1,Not Graduate,No,840000,1890000,5600000,60,Rural,Yes
Female,No,4,Not Graduate,Yes,1370000,1590000,1300000,360,Semiurban,Yes
Female,No,2,Graduate,No,1000000,720000,3900000,60,Rural,No
Female,No,3,Not Graduate,No,1370000,1340000,4900000,240,Semiurban,No
Female,No,3,Not Graduate,No,1620000,1630000,5300000,180,Rural,No
Male,Yes,3,Not Graduate,Yes,1450000,1680000,4400000,12,Rural,Yes
Female,Yes,1,Not Graduate,Yes,1440000,1660000,9100000,120,Rural,Yes
Female,No,2,Graduate,Yes,1700000,740000,1200000,120,Rural,Yes
Male,Yes,2,Not Graduate,Yes,1890000,1850000,1900000,60,Rural,Yes
Female,No,4,Graduate,No,1970000,1930000,4600000,24,Urban,Yes
Female,No,4,Not Graduate,No,1840000,590000,9100000,360,Semiurban,No
Male,Yes,4,Not Graduate,No,1740000,760000,1600000,12,Rural,No
Female,Yes,3,Not Graduate,Yes,1310000,1180000,5600000,300,Semiurban,Yes
Female,No,3,Not Graduate,Yes,840000,910000,6000000,180,Rural,No
Female,No,2,Not Graduate,Yes,1050000,1010000,8600000,360,Urban,Yes
Male,No,4,Graduate,Yes,590000,570000,6000000,60,Urban,Yes
Female,No,3,Not Graduate,Yes,540000,1980000,9400000,360,Semiurban,No
Male,Yes,4,Not Graduate,No,1400000,1310000,6200000,36,Urban,No
Female,No,4,Not Graduate,Yes,830000,1210000,5700000,60,Rural,Yes
Male,Yes,2,Graduate,No,1640000,1710000,3400000,360,Rural,No
Female,No,2,Graduate,Yes,1820000,1000000,5400000,24,Semiurban,Yes
Male,No,3,Not Graduate,Yes,760000,1470000,9600000,24,Semiurban,Yes
Male,Yes,2,Graduate,No,1430000,1930000,4600000,240,Rural,No
Male,Yes,4,Not Graduate,No,1050000,600000,1600000,120,Semiurban,No
Male,Yes,2,Graduate,No,1120000,610000,7600000,12,Rural,Yes
Male,Yes,4,Not Graduate,No,1300000,1690000,8200000,60,Rural,No
Male,Yes,4,Graduate,Yes,1570000,810000,6900000,36,Semiurban,Yes
Female,No,3,Graduate,Yes,1410000,1930000,6900000,12,Rural,Yes
Female,No,3,Graduate,Yes,1690000,1910000,6300000,120,Rural,No
Male,No,3,Graduate,Yes,1760000,1570000,9500000,36,Urban,Yes
Male,Yes,4,Graduate,Yes,1400000,730000,3800000,60,Semiurban,Yes
Male,Yes,2,Graduate,Yes,850000,1840000,7600000,36,Urban,No
Male,Yes,3,Graduate,Yes,1950000,1140000,7800000,24,Rural,No
Female,No,3,Graduate,No,780000,1190000,2400000,120,Rural,No
Male,Yes,2,Not Graduate,Yes,660000,580000,6700000,36,Semiurban,No
Female,No,2,Not Graduate,No,1850000,770000,6400000,240,Semiurban,No
Female,No,3,Not Graduate,No,560000,800000,6900000,36,Semiurban,Yes
Male,No,4,Not Graduate,No,1470000,670000,9800000,120,Semiurban,Yes
Male,Yes,4,Not Graduate,Yes,680000,1100000,9300000,12,Semiurban,Yes
Female,No,3,Not Graduate,No,1620000,840000,5700000,36,Rural,Yes
Female,No,2,Graduate,Yes,1330000,650000,3400000,12,Rural,No
Male,No,4,Graduate,No,1620000,1960000,9400000,180,Urban,No
Male,Yes,2,Graduate,No,1260000,880000,6800000,240,Rural,Yes
Male,No,1,Not Graduate,No,600000,1480000,6600000,12,Urban,No
Female,Yes,2,Graduate,No,1860000,1450000,2200000,180,Rural,Yes
Female,Yes,2,Graduate,Yes,1980000,700000,1400000,300,Semiurban,No
Male,No,1,Graduate,No,1780000,1290000,1100000,36,Semiurban,Yes
Female,No,4,Graduate,Yes,1370000,1070000,7800000,36,Urban,Yes
Female,Yes,4,Not Graduate,No,720000,1160000,7400000,36,Urban,No
Male,No,4,Graduate,No,1530000,1540000,800000,60,Urban,Yes
Male,Yes,3,Graduate,Yes,1440000,540000,4400000,60,Semiurban,Yes
Female,Yes,1,Not Graduate,No,1090000,520000,1400000,360,Urban,No
Female,Yes,2,Not Graduate,No,540000,1640000,3000000,120,Semiurban,Yes
Male,No,1,Not Graduate,No,920000,1990000,9500000,60,Urban,No
Male,Yes,1,Graduate,Yes,1110000,1380000,10000000,360,Semiurban,No
Male,Yes,1,Graduate,Yes,1080000,540000,5900000,60,Urban,No
Male,No,1,Graduate,Yes,580000,1040000,7400000,12,Urban,Yes
Male,No,1,Not Graduate,No,780000,1570000,3300000,240,Rural,Yes
Female,Yes,1,Graduate,No,1810000,740000,4300000,360,Semiurban,No
Female,Yes,3,Not Graduate,Yes,950000,1920000,5700000,300,Semiurban,Yes
Female,Yes,1,Not Graduate,No,1260000,1090000,5500000,360,Rural,No
Female,No,1,Not Graduate,Yes,1910000,1110000,2700000,60,Urban,Yes
Male,Yes,4,Graduate,Yes,1300000,1780000,9900000,60,Rural,Yes
Male,Yes,1,Not Graduate,No,860000,1210000,6000000,12,Semiurban,Yes
Male,No,1,Not Graduate,Yes,1490000,980000,6500000,180,Urban,No
Female,No,4,Graduate,No,1010000,1570000,4100000,24,Semiurban,No
Female,Yes,4,Not Graduate,No,1310000,1370000,900000,360,Rural,No
Female,No,4,Not Graduate,Yes,1150000,900000,7300000,12,Urban,Yes
Male,Yes,2,Graduate,Yes,1850000,1220000,1000000,240,Rural,Yes
Female,Yes,1,Graduate,Yes,1590000,720000,2400000,300,Rural,Yes
Male,No,1,Not Graduate,No,940000,700000,7400000,120,Rural,No
Male,Yes,1,Not Graduate,Yes,1830000,1210000,3200000,12,Urban,No
Male,Yes,4,Graduate,No,720000,1050000,8000000,12,Rural,No
Male,No,3,Not Graduate,Yes,1810000,750000,3700000,120,Semiurban,No
Male,Yes,1,Not Graduate,Yes,1780000,1830000,1800000,12,Rural,No
Male,No,4,Not Graduate,Yes,860000,1680000,3600000,360,Rural,No
Female,Yes,4,Not Graduate,Yes,1700000,1820000,4000000,360,Semiurban,No
Male,No,4,Graduate,No,560000,970000,2600000,360,Semiurban,Yes
Male,No,2,Not Graduate,No,1200000,1390000,9800000,240,Urban,Yes
Female,No,4,Not Graduate,Yes,1160000,1080000,6900000,360,Urban,No
Male,No,3,Graduate,Yes,1350000,1960000,1600000,240,Urban,No
Female,No,2,Not Graduate,Yes,1270000,730000,5800000,12,Semiurban,Yes
Female,No,4,Not Graduate,Yes,1670000,1700000,1000000,120,Semiurban,No
Female,Yes,3,Not Graduate,Yes,790000,660000,1800000,36,Urban,Yes
Male,Yes,3,Not Graduate,Yes,860000,1720000,8500000,12,Urban,No
Male,No,1,Graduate,Yes,1700000,1500000,3600000,360,Urban,No
Female,Yes,4,Graduate,Yes,1600000,1740000,6400000,36,Semiurban,No
Male,No,4,Not Graduate,Yes,1550000,1970000,5300000,240,Rural,Yes
Male,No,1,Graduate,Yes,750000,1340000,2800000,60,Semiurban,Yes
Female,Yes,3,Graduate,No,1510000,1850000,4300000,240,Urban,No
Female,No,4,Graduate,Yes,1450000,710000,7100000,300,Semiurban,Yes
Male,Yes,1,Not Graduate,Yes,1950000,1670000,8400000,24,Rural,No
Female,No,1,Not Graduate,Yes,680000,930000,2800000,24,Semiurban,Yes
Female,No,3,Graduate,Yes,1060000,640000,8400000,12,Urban,No
Female,Yes,3,Graduate,No,1500000,900000,7800000,240,Rural,No
Male,No,4,Graduate,No,1370000,1160000,2200000,24,Rural,Yes
Male,No,4,Graduate,No,640000,1630000,1600000,36,Urban,No
Male,No,2,Graduate,No,1090000,1960000,2600000,180,Semiurban,No
Female,Yes,3,Graduate,No,1370000,1010000,4300000,24,Semiurban,Yes
Male,Yes,2,Graduate,No,1750000,540000,8700000,360,Rural,Yes
Female,Yes,2,Not Graduate,No,1550000,1660000,5700000,12,Semiurban,No
Male,Yes,1,Not Graduate,Yes,600000,810000,5900000,240,Urban,No
Male,Yes,1,Not Graduate,Yes,1260000,1710000,2300000,36,Rural,Yes
Female,No,4,Not Graduate,No,1300000,1340000,6300000,60,Semiurban,Yes
Male,Yes,3,Graduate,Yes,560000,640000,7000000,120,Rural,No
Female,Yes,3,Not Graduate,Yes,1130000,1030000,2600000,60,Rural,No
Male,No,2,Graduate,No,890000,1380000,1900000,12,Rural,Yes
Male,No,2,Not Graduate,No,1280000,1850000,5900000,360,Semiurban,No
Female,Yes,4,Not Graduate,Yes,1110000,1690000,800000,360,Urban,Yes
Female,No,1,Graduate,No,1680000,1320000,8200000,24,Semiurban,Yes
Female,No,3,Graduate,No,1590000,1780000,9500000,360,Rural,No
Male,No,3,Not Graduate,Yes,830000,1740000,8800000,180,Rural,Yes
Male,Yes,3,Not Graduate,No,1050000,1920000,6800000,24,Rural,Yes
Male,No,3,Not Graduate,No,870000,720000,900000,300,Rural,No
Female,No,1,Not Graduate,No,790000,1990000,4300000,12,Urban,Yes
Female,Yes,4,Not Graduate,Yes,1110000,1500000,9400000,36,Urban,Yes
Female,No,4,Graduate,Yes,1220000,560000,2900000,120,Semiurban,Yes
Male,No,1,Graduate,No,1370000,730000,7600000,12,Urban,Yes
Male,Yes,4,Graduate,No,1060000,510000,3700000,180,Semiurban,No
Female,Yes,4,Graduate,Yes,1150000,930000,4400000,24,Rural,No
Male,Yes,2,Graduate,No,1570000,1020000,3700000,180,Rural,Yes
Female,No,1,Graduate,Yes,1170000,760000,9800000,300,Rural,No
Male,Yes,4,Not Graduate,Yes,1810000,1570000,8000000,120,Rural,No
Male,Yes,2,Graduate,Yes,1940000,870000,4700000,240,Rural,No
Female,No,1,Not Graduate,Yes,1290000,1060000,1900000,240,Rural,Yes
Male,No,1,Not Graduate,Yes,1890000,770000,6400000,60,Urban,No
Male,No,3,Not Graduate,Yes,950000,900000,2900000,240,Semiurban,No
Female,No,2,Not Graduate,Yes,720000,680000,5300000,60,Urban,No
Female,No,2,Not Graduate,Yes,890000,1760000,6900000,60,Rural,No
Male,Yes,2,Not Graduate,Yes,1500000,1870000,4200000,12,Urban,No
Female,Yes,1,Not Graduate,No,1240000,550000,1100000,12,Semiurban,Yes
Male,Yes,3,Not Graduate,No,1550000,1990000,1900000,12,Urban,Yes
Female,No,1,Graduate,Yes,1820000,1660000,4300000,120,Urban,No
Male,Yes,4,Graduate,No,960000,1850000,3600000,60,Rural,Yes
Male,No,4,Not Graduate,No,570000,820000,7600000,36,Semiurban,Yes
Female,No,4,Not Graduate,Yes,1900000,1920000,5300000,180,Semiurban,No
Male,Yes,3,Graduate,Yes,1890000,1580000,3400000,240,Rural,Yes
Male,Yes,1,Not Graduate,Yes,850000,1050000,8800000,24,Rural,Yes
Female,No,2,Graduate,No,1710000,1590000,9700000,24,Rural,No
Female,No,4,Not Graduate,Yes,690000,930000,7000000,300,Rural,Yes
Male,Yes,4,Not Graduate,Yes,1510000,1260000,5000000,120,Semiurban,Yes
Female,Yes,1,Not Graduate,No,1710000,1700000,5500000,120,Semiurban,Yes
Female,No,2,Not Graduate,No,910000,1300000,8300000,240,Urban,Yes
Male,No,3,Not Graduate,No,1270000,1900000,9800000,120,Urban,No
Male,No,4,Graduate,Yes,1380000,740000,6400000,180,Semiurban,Yes
Female,No,4,Not Graduate,No,550000,1890000,4600000,360,Rural,Yes
Female,Yes,4,Not Graduate,Yes,1590000,720000,4800000,360,Urban,No
Female,Yes,2,Graduate,No,1760000,510000,1000000,360,Rural,Yes
Male,No,4,Not Graduate,No,550000,1900000,2700000,180,Urban,No
Male,No,2,Graduate,No,960000,1070000,8800000,360,Urban,Yes
Male,Yes,4,Graduate,No,1420000,1030000,9500000,36,Rural,Yes
Male,No,4,Graduate,Yes,1490000,1630000,5200000,180,Urban,No
Male,No,2,Not Graduate,No,500000,500000,6100000,300,Urban,Yes
Male,No,2,Graduate,Yes,1580000,1610000,7200000,24,Rural,No
Male,No,3,Not Graduate,Yes,1860000,650000,9500000,24,Urban,Yes
Female,No,1,Not Graduate,Yes,810000,1030000,6400000,300,Rural,No
Female,No,4,Not Graduate,Yes,1410000,690000,4600000,12,Urban,Yes
Male,Yes,4,Graduate,Yes,650000,1980000,4900000,360,Semiurban,Yes
Male,No,1,Graduate,Yes,930000,760000,900000,36,Urban,Yes
Male,Yes,1,Not Graduate,No,1860000,1150000,2100000,12,Rural,No
Female,Yes,1,Not Graduate,Yes,1260000,1530000,2500000,12,Semiurban,Yes
Male,Yes,4,Graduate,No,1520000,1710000,3900000,240,Semiurban,No
Female,No,4,Not Graduate,No,1350000,1210000,6500000,24,Rural,No
